2018-11-18 13:17:00,807 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:00,999 INFO     Received [data  6.08856
-1.87425
 4.82155
]
2018-11-18 13:17:01,000 INFO     Still connected to
2018-11-18 13:17:01,001 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:01,207 INFO     Received [data  5.16624
-3.89215
 2.94191
]
2018-11-18 13:17:01,207 INFO     Still connected to
2018-11-18 13:17:01,208 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:01,400 INFO     Received [data  7.19074
-3.17410
 3.66461
]
2018-11-18 13:17:01,401 INFO     Still connected to
2018-11-18 13:17:01,402 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:01,608 INFO     Received [data  5.37854
 0.80828
 6.43787
]
2018-11-18 13:17:01,609 INFO     Still connected to
2018-11-18 13:17:01,609 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:01,791 INFO     Received [data  2.73602
 5.27864
 3.27659
]
2018-11-18 13:17:01,792 INFO     Still connected to
2018-11-18 13:17:01,792 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:02,003 INFO     Received [data  2.07521
 5.77892
 3.24114
]
2018-11-18 13:17:02,004 INFO     Still connected to
2018-11-18 13:17:02,004 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:02,195 INFO     Received [data  3.42440
 7.93606
 0.73595
]
2018-11-18 13:17:02,196 INFO     Still connected to
2018-11-18 13:17:02,197 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:02,403 INFO     Received [data  4.59164
 7.30167
-0.82230
]
2018-11-18 13:17:02,404 INFO     Still connected to
2018-11-18 13:17:02,404 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:02,590 INFO     Received [data  7.53020
 1.74352
 2.37747
]
2018-11-18 13:17:02,591 INFO     Still connected to
2018-11-18 13:17:02,592 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:02,834 INFO     Received [data  8.62135
 1.10125
-1.49180
]
2018-11-18 13:17:02,835 INFO     Still connected to
2018-11-18 13:17:02,836 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:02,992 INFO     Received [data  5.43272
-0.80144
-3.01562
]
2018-11-18 13:17:02,992 INFO     Still connected to
2018-11-18 13:17:02,993 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:03,203 INFO     Received [data  8.18614
-2.26297
-5.69779
]
2018-11-18 13:17:03,204 INFO     Still connected to
2018-11-18 13:17:03,204 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:03,397 INFO     Received [data  6.74039
-1.70965
-3.53935
]
2018-11-18 13:17:03,397 INFO     Still connected to
2018-11-18 13:17:03,398 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:03,604 INFO     Received [data  6.73222
 0.47211
-4.32186
]
2018-11-18 13:17:03,605 INFO     Still connected to
2018-11-18 13:17:03,606 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:03,789 INFO     Received [data  8.17020
 4.31687
-2.24021
]
2018-11-18 13:17:03,790 INFO     Still connected to
2018-11-18 13:17:03,791 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:04,002 INFO     Received [data  5.50017
 5.47274
-0.79244
]
2018-11-18 13:17:04,002 INFO     Still connected to
2018-11-18 13:17:04,003 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:04,189 INFO     Received [data  4.63736
 5.28280
 0.39119
]
2018-11-18 13:17:04,190 INFO     Still connected to
2018-11-18 13:17:04,191 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:04,397 INFO     Received [data  4.49234
 4.01910
-0.50333
]
2018-11-18 13:17:04,397 INFO     Still connected to
2018-11-18 13:17:04,398 INFO     ('A8:7D:12:A2:16:10', 1)
